,Value,Model,Label,SWF,Metrics,Error
281,0.9992788461538461,QDA,2,w/ SWF,Precision,0.0007211538461538991
282,0.6916038751345532,QDA,3,w/ SWF,Precision,0.30839612486544676
283,0.9075476625750849,QDA,4,w/ SWF,Precision,0.0924523374249151
284,0.9879370271928031,QDA,5,w/ SWF,Precision,0.012062972807196926
285,0.7875161112134045,QDA,6,w/ SWF,Precision,0.21248388878659552
286,0.5429317662422461,QDA,7,w/ SWF,Precision,0.45706823375775385
287,0.8934950385887541,QDA,8,w/ SWF,Precision,0.10650496141124588
288,0.9982964224872232,QDA,0,w/ SWF,Precision,0.0017035775127768327
289,0.9951799485861182,QDA,1,w/ SWF,Precision,0.004820051413881754
290,0.9997503744383425,QDA,2,w/ SWF,Precision,0.00024962556165752936
291,0.7021964694785069,QDA,3,w/ SWF,Precision,0.2978035305214931
292,0.9383429672447013,QDA,4,w/ SWF,Precision,0.06165703275529866
293,0.9903543307086614,QDA,5,w/ SWF,Precision,0.009645669291338588
294,0.7777038269550749,QDA,6,w/ SWF,Precision,0.2222961730449251
295,0.5598377281947262,QDA,7,w/ SWF,Precision,0.4401622718052738
296,0.884742041712404,QDA,8,w/ SWF,Precision,0.115257958287596
297,0.9995099240382259,QDA,0,w/ SWF,Precision,0.0004900759617740835
298,0.996940960538391,QDA,1,w/ SWF,Precision,0.0030590394616090144
299,1.0,QDA,2,w/ SWF,Precision,0.0
300,0.7210893854748603,QDA,3,w/ SWF,Precision,0.27891061452513966
301,0.9230381024476407,QDA,4,w/ SWF,Precision,0.07696189755235927
302,0.9889042995839112,QDA,5,w/ SWF,Precision,0.01109570041608876
303,0.7985022640195054,QDA,6,w/ SWF,Precision,0.20149773598049459
304,0.5702619938754678,QDA,7,w/ SWF,Precision,0.42973800612453217
305,0.8813953488372093,QDA,8,w/ SWF,Precision,0.11860465116279073
306,0.9992757122163206,QDA,0,w/ SWF,Precision,0.0007242877836793893
307,0.9971518987341772,QDA,1,w/ SWF,Precision,0.0028481012658228
308,0.9997437868306431,QDA,2,w/ SWF,Precision,0.000256213169356867
309,0.7352239225045627,QDA,3,w/ SWF,Precision,0.2647760774954373
310,0.9089517980107116,QDA,4,w/ SWF,Precision,0.09104820198928842
311,0.9893575088687426,QDA,5,w/ SWF,Precision,0.01064249113125737
312,0.7973122238586157,QDA,6,w/ SWF,Precision,0.20268777614138433
313,0.5340074507716871,QDA,7,w/ SWF,Precision,0.4659925492283129
314,0.875268817204301,QDA,8,w/ SWF,Precision,0.12473118279569895
315,0.7937966685812752,QDA,0,w/ SWF,Recall,0.20620333141872482
316,0.6245424773646696,QDA,1,w/ SWF,Recall,0.3754575226353304
317,0.7761165420739888,QDA,2,w/ SWF,Recall,0.22388345792601116
318,1.0,QDA,3,w/ SWF,Recall,0.0
319,0.6369586140519731,QDA,4,w/ SWF,Recall,0.36304138594802693
320,0.9549188156638013,QDA,5,w/ SWF,Recall,0.045081184336198676
321,0.8625363020329139,QDA,6,w/ SWF,Recall,0.13746369796708613
322,0.9632268001540238,QDA,7,w/ SWF,Recall,0.03677319984597616
323,0.7750097314130011,QDA,8,w/ SWF,Recall,0.2249902685869989
324,0.7841823056300268,QDA,0,w/ SWF,Recall,0.21581769436997322
325,0.6131483944518336,QDA,1,w/ SWF,Recall,0.38685160554816644
